timestamp_utc,upwelling_predicted,net_wind_hours,details
2026-09-13 23:13,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-14 08:35,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-14 08:46,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-14 08:58,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-14 09:04,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-14 12:26,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-14 12:49,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-14 14:15,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-14 14:24,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-14 14:39,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-14 15:55,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-14 23:53,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-15 07:49,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-15 08:00,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-15 08:15,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-15 08:47,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-15 08:47,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-15 08:57,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-15 09:05,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-15 14:22,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-15 19:04,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-15 23:32,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-16 08:41,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-16 09:20,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-16 10:09,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-16 14:14,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-16 15:47,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-16 18:56,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-16 23:40,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-17 08:45,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-17 14:19,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-17 19:05,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-17 23:34,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-18 08:21,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-18 13:39,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-18 18:33,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-18 23:22,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-19 08:09,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-19 16:50,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-19 16:50,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-19 21:48,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-20 05:29,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-20 13:14,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-20 17:03,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-20 21:57,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-21 05:34,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-21 11:23,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-21 17:42,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-21 22:50,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-22 05:27,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-22 12:51,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-22 17:46,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-22 22:26,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-23 05:15,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-23 13:02,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-23 17:59,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-23 22:28,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-24 05:31,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-24 08:17,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-24 08:20,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-24 08:42,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-24 08:48,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-24 08:50,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-24 12:55,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-24 17:58,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-24 22:44,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
2026-09-25 05:27,Nein,0,"Kriterien im Prognosezeitraum nicht erfuellt"
